position,driver_number,number_of_laps,points,dnf,dns,dsq,duration,gap_to_leader,meeting_key,session_key
1.0,4,57.0,25.0,False,False,False,6126.304,0.0,1254,9693
2.0,1,57.0,18.0,False,False,False,6127.199,0.895,1254,9693
3.0,63,57.0,15.0,False,False,False,6134.785,8.481,1254,9693
4.0,12,57.0,12.0,False,False,False,6136.439,10.135,1254,9693
5.0,23,57.0,10.0,False,False,False,6139.077,12.773,1254,9693
6.0,18,57.0,8.0,False,False,False,6143.717,17.413,1254,9693
7.0,27,57.0,6.0,False,False,False,6144.727,18.423,1254,9693
8.0,16,57.0,4.0,False,False,False,6146.13,19.826,1254,9693
9.0,81,57.0,2.0,False,False,False,6146.752,20.448,1254,9693
10.0,44,57.0,1.0,False,False,False,6148.777,22.473,1254,9693
11.0,10,57.0,0.0,False,False,False,6152.806,26.502,1254,9693
12.0,22,57.0,0.0,False,False,False,6156.188,29.884,1254,9693
13.0,31,57.0,0.0,False,False,False,6159.465,33.161,1254,9693
14.0,87,57.0,0.0,False,False,False,6166.655,40.351,1254,9693
,30,46.0,0.0,True,False,False,,,1254,9693
,5,45.0,0.0,True,False,False,,,1254,9693
,14,32.0,0.0,True,False,False,,,1254,9693
,55,0.0,0.0,True,False,False,,,1254,9693
,7,0.0,0.0,True,False,False,,,1254,9693
,6,0.0,0.0,False,True,False,,,1254,9693
1.0,81,56.0,25.0,False,False,False,5455.026,0,1255,9998
2.0,4,56.0,18.0,False,False,False,5464.774,9.748,1255,9998
3.0,63,56.0,15.0,False,False,False,5466.123,11.097,1255,9998
4.0,1,56.0,12.0,False,False,False,5471.682,16.656,1255,9998
5.0,31,56.0,10.0,False,False,False,5504.995,49.969,1255,9998
6.0,12,56.0,8.0,False,False,False,5508.774,53.748,1255,9998
7.0,23,56.0,6.0,False,False,False,5511.347,56.321,1255,9998
8.0,87,56.0,4.0,False,False,False,5516.329,61.303,1255,9998
9.0,18,56.0,2.0,False,False,False,5525.23,70.204,1255,9998
10.0,55,56.0,1.0,False,False,False,5531.413,76.387,1255,9998
11.0,6,56.0,0.0,False,False,False,5533.901,78.875,1255,9998
12.0,30,56.0,0.0,False,False,False,5536.173,81.147,1255,9998
13.0,7,56.0,0.0,False,False,False,5543.427,88.401,1255,9998
14.0,5,55.0,0.0,False,False,False,,+1 LAP,1255,9998
15.0,27,55.0,0.0,False,False,False,,+1 LAP,1255,9998
16.0,22,55.0,0.0,False,False,False,,+1 LAP,1255,9998
,14,4.0,0.0,True,False,False,,,1255,9998
,16,,0.0,False,False,True,,,1255,9998
,44,,0.0,False,False,True,,,1255,9998
,10,,0.0,False,False,True,,,1255,9998
1.0,1,53.0,25.0,False,False,False,4926.983,0,1256,10006
2.0,4,53.0,18.0,False,False,False,4928.406,1.423,1256,10006
3.0,81,53.0,15.0,False,False,False,4929.112,2.129,1256,10006
4.0,16,53.0,12.0,False,False,False,4943.08,16.097,1256,10006
5.0,63,53.0,10.0,False,False,False,4944.345,17.362,1256,10006
6.0,12,53.0,8.0,False,False,False,4945.654,18.671,1256,10006
7.0,44,53.0,6.0,False,False,False,4956.165,29.182,1256,10006
8.0,6,53.0,4.0,False,False,False,4964.117,37.134,1256,10006
9.0,23,53.0,2.0,False,False,False,4967.35,40.367,1256,10006
10.0,87,53.0,1.0,False,False,False,4981.512,54.529,1256,10006
11.0,14,53.0,0.0,False,False,False,4984.316,57.333,1256,10006
12.0,22,53.0,0.0,False,False,False,4985.384,58.401,1256,10006
13.0,10,53.0,0.0,False,False,False,4989.105,62.122,1256,10006
14.0,55,53.0,0.0,False,False,False,5001.112,74.129,1256,10006
15.0,7,53.0,0.0,False,False,False,5008.297,81.314,1256,10006
16.0,27,53.0,0.0,False,False,False,5008.94,81.957,1256,10006
17.0,30,53.0,0.0,False,False,False,5009.717,82.734,1256,10006
18.0,31,53.0,0.0,False,False,False,5010.421,83.438,1256,10006
19.0,5,53.0,0.0,False,False,False,5010.88,83.897,1256,10006
20.0,18,52.0,0.0,False,False,False,,+1 LAP,1256,10006
1.0,81,57.0,25.0,False,False,False,5739.435,0.0,1257,10014
2.0,63,57.0,18.0,False,False,False,5754.934,15.499,1257,10014
3.0,4,57.0,15.0,False,False,False,5755.708,16.273,1257,10014
4.0,16,57.0,12.0,False,False,False,5759.114,19.679,1257,10014
5.0,44,57.0,10.0,False,False,False,5767.428,27.993,1257,10014
6.0,1,57.0,8.0,False,False,False,5773.83,34.395,1257,10014
7.0,10,57.0,6.0,False,False,False,5775.437,36.002,1257,10014
8.0,31,57.0,4.0,False,False,False,5783.679,44.244,1257,10014
9.0,22,57.0,2.0,False,False,False,5784.496,45.061,1257,10014
10.0,87,57.0,1.0,False,False,False,5787.029,47.594,1257,10014
11.0,12,57.0,0.0,False,False,False,5787.451,48.016,1257,10014
12.0,23,57.0,0.0,False,False,False,5788.274,48.839,1257,10014
13.0,6,57.0,0.0,False,False,False,5795.749,56.314,1257,10014
14.0,7,57.0,0.0,False,False,False,5797.241,57.806,1257,10014
15.0,14,57.0,0.0,False,False,False,5799.775,60.34,1257,10014
16.0,30,57.0,0.0,False,False,False,5803.87,64.435,1257,10014
17.0,18,57.0,0.0,False,False,False,5804.924,65.489,1257,10014
18.0,5,57.0,0.0,False,False,False,5806.307,66.872,1257,10014
,55,45.0,0.0,True,False,False,,,1257,10014
,27,,0.0,False,False,True,,,1257,10014
1.0,81,50.0,25.0,False,False,False,4866.758,0,1258,10022
2.0,1,50.0,18.0,False,False,False,4869.601,2.843,1258,10022
3.0,16,50.0,15.0,False,False,False,4874.862,8.104,1258,10022
4.0,4,50.0,12.0,False,False,False,4875.954,9.196,1258,10022
5.0,63,50.0,10.0,False,False,False,4893.994,27.236,1258,10022
6.0,12,50.0,8.0,False,False,False,4901.446,34.688,1258,10022
7.0,44,50.0,6.0,False,False,False,4905.831,39.073,1258,10022
8.0,55,50.0,4.0,False,False,False,4931.388,64.63,1258,10022
9.0,23,50.0,2.0,False,False,False,4933.273,66.515,1258,10022
10.0,6,50.0,1.0,False,False,False,4933.849,67.091,1258,10022
11.0,14,50.0,0.0,False,False,False,4942.675,75.917,1258,10022
12.0,30,50.0,0.0,False,False,False,4945.209,78.451,1258,10022
13.0,87,50.0,0.0,False,False,False,4945.952,79.194,1258,10022
14.0,31,50.0,0.0,False,False,False,4966.481,99.723,1258,10022
15.0,27,49.0,0.0,False,False,False,,+1 LAP,1258,10022
16.0,18,49.0,0.0,False,False,False,,+1 LAP,1258,10022
17.0,7,49.0,0.0,False,False,False,,+1 LAP,1258,10022
18.0,5,49.0,0.0,False,False,False,,+1 LAP,1258,10022
,22,1.0,0.0,True,False,False,,,1258,10022
,10,0.0,0.0,True,False,False,,,1258,10022
1.0,81,57.0,25.0,False,False,False,5331.587,0,1259,10033
2.0,4,57.0,18.0,False,False,False,5336.217,4.63,1259,10033
3.0,63,57.0,15.0,False,False,False,5369.231,37.644,1259,10033
4.0,1,57.0,12.0,False,False,False,5371.543,39.956,1259,10033
5.0,23,57.0,10.0,False,False,False,5379.654,48.067,1259,10033
6.0,12,57.0,8.0,False,False,False,5387.089,55.502,1259,10033
7.0,16,57.0,6.0,False,False,False,5388.623,57.036,1259,10033
8.0,44,57.0,4.0,False,False,False,5391.773,60.186,1259,10033
9.0,55,57.0,2.0,False,False,False,5392.164,60.577,1259,10033
10.0,22,57.0,1.0,False,False,False,5406.021,74.434,1259,10033
11.0,6,57.0,0.0,False,False,False,5406.189,74.602,1259,10033
12.0,31,57.0,0.0,False,False,False,5413.593,82.006,1259,10033
13.0,10,57.0,0.0,False,False,False,5422.032,90.445,1259,10033
14.0,27,56.0,0.0,False,False,False,,+1 LAP,1259,10033
15.0,14,56.0,0.0,False,False,False,,+1 LAP,1259,10033
16.0,18,56.0,0.0,False,False,False,,+1 LAP,1259,10033
,30,36.0,0.0,True,False,False,,,1259,10033
,5,30.0,0.0,True,False,False,,,1259,10033
,87,27.0,0.0,True,False,False,,,1259,10033
,7,0.0,0.0,True,False,False,,,1259,10033
1.0,1,63.0,25.0,False,False,False,5493.199,0.0,1260,9987
2.0,4,63.0,18.0,False,False,False,5499.308,6.109,1260,9987
3.0,81,63.0,15.0,False,False,False,5506.155,12.956,1260,9987
4.0,44,63.0,12.0,False,False,False,5507.555,14.356,1260,9987
5.0,23,63.0,10.0,False,False,False,5511.144,17.945,1260,9987
6.0,16,63.0,8.0,False,False,False,5513.973,20.774,1260,9987
7.0,63,63.0,6.0,False,False,False,5515.233,22.034,1260,9987
8.0,55,63.0,4.0,False,False,False,5516.097,22.898,1260,9987
9.0,6,63.0,2.0,False,False,False,5516.785,23.586,1260,9987
10.0,22,63.0,1.0,False,False,False,5519.645,26.446,1260,9987
11.0,14,63.0,0.0,False,False,False,5520.449,27.25,1260,9987
12.0,27,63.0,0.0,False,False,False,5523.495,30.296,1260,9987
13.0,10,63.0,0.0,False,False,False,5524.623,31.424,1260,9987
14.0,30,63.0,0.0,False,False,False,5525.71,32.511,1260,9987
15.0,18,63.0,0.0,False,False,False,5526.192,32.993,1260,9987
16.0,43,63.0,0.0,False,False,False,5526.61,33.411,1260,9987
17.0,87,63.0,0.0,False,False,False,5527.007,33.808,1260,9987
18.0,5,63.0,0.0,False,False,False,5531.771,38.572,1260,9987
,12,44.0,0.0,True,False,False,,,1260,9987
,31,27.0,0.0,True,False,False,,,1260,9987
1.0,4,78.0,25.0,False,False,False,6033.843,0,1261,9979
2.0,16,78.0,18.0,False,False,False,6036.974,3.131,1261,9979
3.0,81,78.0,15.0,False,False,False,6037.501,3.658,1261,9979
4.0,1,78.0,12.0,False,False,False,6054.415,20.572,1261,9979
5.0,44,78.0,10.0,False,False,False,6085.23,51.387,1261,9979
6.0,6,77.0,8.0,False,False,False,,+1 LAP,1261,9979
7.0,31,77.0,6.0,False,False,False,,+1 LAP,1261,9979
8.0,30,77.0,4.0,False,False,False,,+1 LAP,1261,9979
9.0,23,76.0,2.0,False,False,False,,+2 LAPS,1261,9979
10.0,55,76.0,1.0,False,False,False,,+2 LAPS,1261,9979
11.0,63,76.0,0.0,False,False,False,,+2 LAPS,1261,9979
12.0,87,76.0,0.0,False,False,False,,+2 LAPS,1261,9979
13.0,43,76.0,0.0,False,False,False,,+2 LAPS,1261,9979
14.0,5,76.0,0.0,False,False,False,,+2 LAPS,1261,9979
15.0,18,76.0,0.0,False,False,False,,+2 LAPS,1261,9979
16.0,27,76.0,0.0,False,False,False,,+2 LAPS,1261,9979
17.0,22,76.0,0.0,False,False,False,,+2 LAPS,1261,9979
18.0,12,75.0,0.0,False,False,False,,+3 LAPS,1261,9979
,14,36.0,0.0,True,False,False,,,1261,9979
,10,7.0,0.0,True,False,False,,,1261,9979
1.0,81,66.0,25.0,False,False,False,5577.375,0.0,1262,9971
2.0,4,66.0,18.0,False,False,False,5579.846,2.471,1262,9971
3.0,16,66.0,15.0,False,False,False,5587.83,10.455,1262,9971
4.0,63,66.0,12.0,False,False,False,5588.734,11.359,1262,9971
5.0,27,66.0,10.0,False,False,False,5591.023,13.648,1262,9971
6.0,44,66.0,8.0,False,False,False,5592.883,15.508,1262,9971
7.0,6,66.0,6.0,False,False,False,5593.397,16.022,1262,9971
8.0,10,66.0,4.0,False,False,False,5595.257,17.882,1262,9971
9.0,14,66.0,2.0,False,False,False,5598.939,21.564,1262,9971
10.0,1,66.0,1.0,False,False,False,5599.201,21.826,1262,9971
11.0,30,66.0,0.0,False,False,False,5602.907,25.532,1262,9971
12.0,5,66.0,0.0,False,False,False,5603.371,25.996,1262,9971
13.0,22,66.0,0.0,False,False,False,5606.197,28.822,1262,9971
14.0,55,66.0,0.0,False,False,False,5606.684,29.309,1262,9971
15.0,43,66.0,0.0,False,False,False,5608.756,31.381,1262,9971
16.0,31,66.0,0.0,False,False,False,5609.572,32.197,1262,9971
17.0,87,66.0,0.0,False,False,False,5614.44,37.065,1262,9971
,12,53.0,0.0,True,False,False,,,1262,9971
,23,27.0,0.0,True,False,False,,,1262,9971
1.0,63,70.0,25.0,False,False,False,5512.688,0,1263,9963
2.0,1,70.0,18.0,False,False,False,5512.916,0.228,1263,9963
3.0,12,70.0,15.0,False,False,False,5513.702,1.014,1263,9963
4.0,81,70.0,12.0,False,False,False,5514.797,2.109,1263,9963
5.0,16,70.0,10.0,False,False,False,5516.13,3.442,1263,9963
6.0,44,70.0,8.0,False,False,False,5523.401,10.713,1263,9963
7.0,14,70.0,6.0,False,False,False,5523.66,10.972,1263,9963
8.0,27,70.0,4.0,False,False,False,5528.052,15.364,1263,9963
9.0,31,69.0,2.0,False,False,False,,+1 LAP,1263,9963
10.0,55,69.0,1.0,False,False,False,,+1 LAP,1263,9963
11.0,87,69.0,0.0,False,False,False,,+1 LAP,1263,9963
12.0,22,69.0,0.0,False,False,False,,+1 LAP,1263,9963
13.0,43,69.0,0.0,False,False,False,,+1 LAP,1263,9963
14.0,5,69.0,0.0,False,False,False,,+1 LAP,1263,9963
15.0,10,69.0,0.0,False,False,False,,+1 LAP,1263,9963
16.0,6,69.0,0.0,False,False,False,,+1 LAP,1263,9963
17.0,18,69.0,0.0,False,False,False,,+1 LAP,1263,9963
18.0,4,66.0,0.0,True,False,False,,,1263,9963
,30,53.0,0.0,True,False,False,,,1263,9963
,23,46.0,0.0,True,False,False,,,1263,9963
1.0,4,70.0,25.0,False,False,False,5027.693,0,1264,9955
2.0,81,70.0,18.0,False,False,False,5030.388,2.695,1264,9955
3.0,16,70.0,15.0,False,False,False,5047.513,19.82,1264,9955
4.0,44,70.0,12.0,False,False,False,5056.713,29.02,1264,9955
5.0,63,70.0,10.0,False,False,False,5090.089,62.396,1264,9955
6.0,30,70.0,8.0,False,False,False,5095.447,67.754,1264,9955
7.0,14,69.0,6.0,False,False,False,,+1 LAP,1264,9955
8.0,5,69.0,4.0,False,False,False,,+1 LAP,1264,9955
9.0,27,69.0,2.0,False,False,False,,+1 LAP,1264,9955
10.0,31,69.0,1.0,False,False,False,,+1 LAP,1264,9955
11.0,87,69.0,0.0,False,False,False,,+1 LAP,1264,9955
12.0,6,69.0,0.0,False,False,False,,+1 LAP,1264,9955
13.0,10,69.0,0.0,False,False,False,,+1 LAP,1264,9955
14.0,18,69.0,0.0,False,False,False,,+1 LAP,1264,9955
15.0,43,69.0,0.0,False,False,False,,+1 LAP,1264,9955
16.0,22,68.0,0.0,False,False,False,,+2 LAPS,1264,9955
,23,15.0,0.0,True,False,False,,,1264,9955
,1,0.0,0.0,True,False,False,,,1264,9955
,12,0.0,0.0,True,False,False,,,1264,9955
,55,0.0,0.0,False,True,False,,,1264,9955
1.0,4,52.0,25.0,False,False,False,5835.735,0,1277,9947
2.0,81,52.0,18.0,False,False,False,5842.547,6.812,1277,9947
3.0,27,52.0,15.0,False,False,False,5870.477,34.742,1277,9947
4.0,44,52.0,12.0,False,False,False,5875.547,39.812,1277,9947
5.0,1,52.0,10.0,False,False,False,5892.516,56.781,1277,9947
6.0,10,52.0,8.0,False,False,False,5895.592,59.857,1277,9947
7.0,18,52.0,6.0,False,False,False,5896.338,60.603,1277,9947
8.0,23,52.0,4.0,False,False,False,5899.87,64.135,1277,9947
9.0,14,52.0,2.0,False,False,False,5901.593,65.858,1277,9947
10.0,63,52.0,1.0,False,False,False,5906.409,70.674,1277,9947
11.0,87,52.0,0.0,False,False,False,5907.83,72.095,1277,9947
12.0,55,52.0,0.0,False,False,False,5912.327,76.592,1277,9947
13.0,31,52.0,0.0,False,False,False,5913.036,77.301,1277,9947
14.0,16,52.0,0.0,False,False,False,5920.212,84.477,1277,9947
15.0,22,51.0,0.0,False,False,False,,+1 LAP,1277,9947
,12,23.0,0.0,True,False,False,,,1277,9947
,6,17.0,0.0,True,False,False,,,1277,9947
,5,3.0,0.0,True,False,False,,,1277,9947
,30,0.0,0.0,True,False,False,,,1277,9947
,43,0.0,0.0,False,True,False,,,1277,9947
1.0,81,44.0,25.0,False,False,False,5122.601,0,1265,9939
2.0,4,44.0,18.0,False,False,False,5126.016,3.415,1265,9939
3.0,16,44.0,15.0,False,False,False,5142.786,20.185,1265,9939
4.0,1,44.0,12.0,False,False,False,5144.332,21.731,1265,9939
5.0,63,44.0,10.0,False,False,False,5157.464,34.863,1265,9939
6.0,23,44.0,8.0,False,False,False,5162.527,39.926,1265,9939
7.0,44,44.0,6.0,False,False,False,5163.28,40.679,1265,9939
8.0,30,44.0,4.0,False,False,False,5174.634,52.033,1265,9939
9.0,5,44.0,2.0,False,False,False,5179.035,56.434,1265,9939
10.0,10,44.0,1.0,False,False,False,5195.315,72.714,1265,9939
11.0,87,44.0,0.0,False,False,False,5195.746,73.145,1265,9939
12.0,27,44.0,0.0,False,False,False,5196.229,73.628,1265,9939
13.0,22,44.0,0.0,False,False,False,5197.996,75.395,1265,9939
14.0,18,44.0,0.0,False,False,False,5202.432,79.831,1265,9939
15.0,31,44.0,0.0,False,False,False,5208.664,86.063,1265,9939
16.0,12,44.0,0.0,False,False,False,5209.322,86.721,1265,9939
17.0,14,44.0,0.0,False,False,False,5210.525,87.924,1265,9939
18.0,55,44.0,0.0,False,False,False,5214.625,92.024,1265,9939
19.0,43,44.0,0.0,False,False,False,5217.851,95.25,1265,9939
20.0,6,43.0,0.0,False,False,False,,+1 LAP,1265,9939
1.0,4,70.0,25.0,False,False,False,5721.231,0,1266,9928
2.0,81,70.0,18.0,False,False,False,5721.929,0.698,1266,9928
3.0,63,70.0,15.0,False,False,False,5743.147,21.916,1266,9928
4.0,16,70.0,12.0,False,False,False,5763.791,42.56,1266,9928
5.0,14,70.0,10.0,False,False,False,5780.271,59.04,1266,9928
6.0,5,70.0,8.0,False,False,False,5787.4,66.169,1266,9928
7.0,18,70.0,6.0,False,False,False,5789.405,68.174,1266,9928
8.0,30,70.0,4.0,False,False,False,5790.682,69.451,1266,9928
9.0,1,70.0,2.0,False,False,False,5793.876,72.645,1266,9928
10.0,12,69.0,1.0,False,False,False,,+1 LAP,1266,9928
11.0,6,69.0,0.0,False,False,False,,+1 LAP,1266,9928
12.0,44,69.0,0.0,False,False,False,,+1 LAP,1266,9928
13.0,27,69.0,0.0,False,False,False,,+1 LAP,1266,9928
14.0,55,69.0,0.0,False,False,False,,+1 LAP,1266,9928
15.0,23,69.0,0.0,False,False,False,,+1 LAP,1266,9928
16.0,31,69.0,0.0,False,False,False,,+1 LAP,1266,9928
17.0,22,69.0,0.0,False,False,False,,+1 LAP,1266,9928
18.0,43,69.0,0.0,False,False,False,,+1 LAP,1266,9928
19.0,10,69.0,0.0,False,False,False,,+1 LAP,1266,9928
,87,48.0,0.0,True,False,False,,,1266,9928
1.0,81,72.0,25.0,False,False,False,5909.849,0.0,1267,9920
2.0,1,72.0,18.0,False,False,False,5911.12,1.271,1267,9920
3.0,6,72.0,15.0,False,False,False,5913.082,3.233,1267,9920
4.0,63,72.0,12.0,False,False,False,5915.503,5.654,1267,9920
5.0,23,72.0,10.0,False,False,False,5916.176,6.327,1267,9920
6.0,87,72.0,8.0,False,False,False,5918.893,9.044,1267,9920
7.0,18,72.0,6.0,False,False,False,5919.346,9.497,1267,9920
8.0,14,72.0,4.0,False,False,False,5921.558,11.709,1267,9920
9.0,22,72.0,2.0,False,False,False,5923.446,13.597,1267,9920
10.0,31,72.0,1.0,False,False,False,5923.912,14.063,1267,9920
11.0,43,72.0,0.0,False,False,False,5924.36,14.511,1267,9920
12.0,30,72.0,0.0,False,False,False,5926.912,17.063,1267,9920
13.0,55,72.0,0.0,False,False,False,5927.225,17.376,1267,9920
14.0,27,72.0,0.0,False,False,False,5929.574,19.725,1267,9920
15.0,5,72.0,0.0,False,False,False,5931.414,21.565,1267,9920
16.0,12,72.0,0.0,False,False,False,5931.878,22.029,1267,9920
17.0,10,72.0,0.0,False,False,False,5933.478,23.629,1267,9920
18.0,4,64.0,0.0,True,False,False,,,1267,9920
,16,52.0,0.0,True,False,False,,,1267,9920
,44,22.0,0.0,True,False,False,,,1267,9920
1.0,1,53.0,25.0,False,False,False,4404.325,0,1268,9912
2.0,4,53.0,18.0,False,False,False,4423.532,19.207,1268,9912
3.0,81,53.0,15.0,False,False,False,4425.676,21.351,1268,9912
4.0,16,53.0,12.0,False,False,False,4429.949,25.624,1268,9912
5.0,63,53.0,10.0,False,False,False,4437.206,32.881,1268,9912
6.0,44,53.0,8.0,False,False,False,4441.774,37.449,1268,9912
7.0,23,53.0,6.0,False,False,False,4454.862,50.537,1268,9912
8.0,5,53.0,4.0,False,False,False,4462.809,58.484,1268,9912
9.0,12,53.0,2.0,False,False,False,4464.087,59.762,1268,9912
10.0,6,53.0,1.0,False,False,False,4468.216,63.891,1268,9912
11.0,55,53.0,0.0,False,False,False,4468.794,64.469,1268,9912
12.0,87,53.0,0.0,False,False,False,4483.613,79.288,1268,9912
13.0,22,53.0,0.0,False,False,False,4485.026,80.701,1268,9912
14.0,30,53.0,0.0,False,False,False,4486.676,82.351,1268,9912
15.0,31,52.0,0.0,False,False,False,,+1 LAP,1268,9912
16.0,10,52.0,0.0,False,False,False,,+1 LAP,1268,9912
17.0,43,52.0,0.0,False,False,False,,+1 LAP,1268,9912
18.0,18,52.0,0.0,False,False,False,,+1 LAP,1268,9912
,14,24.0,0.0,True,False,False,,,1268,9912
,27,0.0,0.0,False,True,False,,,1268,9912
1.0,1,51.0,25.0,False,False,False,5606.408,0,1269,9904
2.0,63,51.0,18.0,False,False,False,5621.017,14.609,1269,9904
3.0,55,51.0,15.0,False,False,False,5625.607,19.199,1269,9904
4.0,12,51.0,12.0,False,False,False,5628.168,21.76,1269,9904
5.0,30,51.0,10.0,False,False,False,5639.698,33.29,1269,9904
6.0,22,51.0,8.0,False,False,False,5640.216,33.808,1269,9904
7.0,4,51.0,6.0,False,False,False,5640.635,34.227,1269,9904
8.0,44,51.0,4.0,False,False,False,5642.718,36.31,1269,9904
9.0,16,51.0,2.0,False,False,False,5643.182,36.774,1269,9904
10.0,6,51.0,1.0,False,False,False,5645.39,38.982,1269,9904
11.0,5,51.0,0.0,False,False,False,5674.014,67.606,1269,9904
12.0,87,51.0,0.0,False,False,False,5674.67,68.262,1269,9904
13.0,23,51.0,0.0,False,False,False,5679.278,72.87,1269,9904
14.0,31,51.0,0.0,False,False,False,5683.988,77.58,1269,9904
15.0,14,51.0,0.0,False,False,False,5685.115,78.707,1269,9904
16.0,27,51.0,0.0,False,False,False,5686.645,80.237,1269,9904
17.0,18,51.0,0.0,False,False,False,5702.8,96.392,1269,9904
18.0,10,50.0,0.0,False,False,False,,+1 LAP,1269,9904
19.0,43,50.0,0.0,False,False,False,,+1 LAP,1269,9904
,81,0.0,0.0,True,False,False,,,1269,9904
1.0,63,62.0,25.0,False,False,False,6022.367,0,1270,9896
2.0,1,62.0,18.0,False,False,False,6027.797,5.43,1270,9896
3.0,4,62.0,15.0,False,False,False,6028.433,6.066,1270,9896
4.0,81,62.0,12.0,False,False,False,6030.513,8.146,1270,9896
5.0,12,62.0,10.0,False,False,False,6056.048,33.681,1270,9896
6.0,16,62.0,8.0,False,False,False,6068.363,45.996,1270,9896
7.0,14,62.0,6.0,False,False,False,6103.034,80.667,1270,9896
8.0,44,62.0,4.0,False,False,False,6107.618,85.251,1270,9896
9.0,87,62.0,2.0,False,False,False,6115.894,93.527,1270,9896
10.0,55,61.0,1.0,False,False,False,,+1 LAP,1270,9896
11.0,6,61.0,0.0,False,False,False,,+1 LAP,1270,9896
12.0,22,61.0,0.0,False,False,False,,+1 LAP,1270,9896
13.0,18,61.0,0.0,False,False,False,,+1 LAP,1270,9896
14.0,23,61.0,0.0,False,False,False,,+1 LAP,1270,9896
15.0,30,61.0,0.0,False,False,False,,+1 LAP,1270,9896
16.0,43,61.0,0.0,False,False,False,,+1 LAP,1270,9896
17.0,5,61.0,0.0,False,False,False,,+1 LAP,1270,9896
18.0,31,61.0,0.0,False,False,False,,+1 LAP,1270,9896
19.0,10,61.0,0.0,False,False,False,,+1 LAP,1270,9896
20.0,27,61.0,0.0,False,False,False,,+1 LAP,1270,9896
1.0,1,56.0,25.0,False,False,False,5640.161,0,1271,9888
2.0,4,56.0,18.0,False,False,False,5648.12,7.959,1271,9888
3.0,16,56.0,15.0,False,False,False,5655.534,15.373,1271,9888
4.0,44,56.0,12.0,False,False,False,5668.697,28.536,1271,9888
5.0,81,56.0,10.0,False,False,False,5669.839,29.678,1271,9888
6.0,63,56.0,8.0,False,False,False,5673.617,33.456,1271,9888
7.0,22,56.0,6.0,False,False,False,5692.875,52.714,1271,9888
8.0,27,56.0,4.0,False,False,False,5697.41,57.249,1271,9888
9.0,87,56.0,2.0,False,False,False,5704.883,64.722,1271,9888
10.0,14,56.0,1.0,False,False,False,5710.162,70.001,1271,9888
11.0,30,56.0,0.0,False,False,False,5713.37,73.209,1271,9888
12.0,18,56.0,0.0,False,False,False,5714.939,74.778,1271,9888
13.0,12,56.0,0.0,False,False,False,5715.907,75.746,1271,9888
14.0,23,56.0,0.0,False,False,False,5720.161,80.0,1271,9888
15.0,31,56.0,0.0,False,False,False,5723.204,83.043,1271,9888
16.0,6,56.0,0.0,False,False,False,5732.968,92.807,1271,9888
17.0,43,55.0,0.0,False,False,False,,+1 LAP,1271,9888
18.0,5,55.0,0.0,False,False,False,,+1 LAP,1271,9888
19.0,10,55.0,0.0,False,False,False,,+1 LAP,1271,9888
,55,5.0,0.0,True,False,False,,,1271,9888
